donor_name,donor_province,donor_city,total_donations,donations_per_employee_range,donation_consistency
ALBERTA & NWT DISTRICT OF THE PENTECOSTAL ASSEMBLIES OF CANADA,AB,EDMONTON,3,5,3
ALBERTA BLUE CROSS HEARTS OF BLUE,AB,EDMONTON,5,4,4
ALBERTA CANCER FOUNDATION,AB,EDMONTON,9,7,4
ALBERTA CHILDREN'S HOSPITAL FOUNDATION,AB,CALGARY,7,7,4
ALBERTA CONSERVATION ASSOCIATION,AB,SHERWOOD PARK,26,7,4
ALBERTA CULTURAL SOCIETY OF THE DEAF,AB,EDMONTON,1,7,1
ALBERTA DIABETES FOUNDATION,AB,EDMONTON,2,7,2
ALBERTA MUSIC EDUCATION FOUNDATION,AB,EDMONTON,4,7,3
ALBERTA SOCIETY FOR PROMOTION OF SEXUAL HEALTH,AB,CALGARY,2,2,2
ALBERTA SYNOD EVANGELICAL LUTHERAN CHURCH IN CANADA,AB,EDMONTON,10,2,4
ALBERTA UKRAINIAN COMMEMORATIVE SOCIETY,AB,EDMONTON,2,0,1
ALBERTA UKRAINIAN COMMEMORATIVE SOCIETY,AB,SPRUCE GROVE,4,0,2
ALDERBROOK COMMUNITY CHURCH,BC,ABBOTSFORD,4,7,4
ALEXANDER E GROSSMAN FOUNDATION,ON,TORONTO,22,2,4
ALEXANDRA COMMUNITY HEALTH CENTRE,AB,CALGARY,1,1,1
ALEXANDRA COMMUNITY HEALTH FOUNDATION,AB,CALGARY,1,1,1
ALEXANDRE MCKENZIE EDUCATION ENDOWMENT FUND,ON,TORONTO,1,7,1
ALEXANDRIA COUMMUNITY HEALTH CENTRE,AB,CALGARY,1,1,1
ALGOMA MUSIC CAMP,ON,SARNIA,2,7,2
ALI KHAN FOUNDATION,ON,NORTH YORK,3,0,2
ALICE AND MURRAY MAITLAND FOUNDATION,ON,TORONTO,13,2,4
ALIZA AND CHAIM KORNFELD FOUNDATION,BC,VANCOUVER,4,5,3
ALL CHARITIES CAMPAIGN,MB,WINNIPEG,203,4,3
ALL NATION CHRISTIAN REFORM CHURCH,NS,HALIFAX,1,3,1
ALL NATIONS FULL GOSPEL CHURCH,ON,TORONTO,1,5,1
ALL PEOPLE'S CHURCH INC.,ON,BRAMPTON,1,3,1
ALL SAINTS ANGLICAN CHURCH,MB,MATLOCK,2,5,2
ALL SAINTS CHURCH,ON,WATERLOO,2,7,2
ALL SAINTS COMMUNITY CHURCH,BC,WHITE ROCK,1,7,1
ALL SAINTS LUTHERAN CHURCH,AB,EDMONTON,2,2,2
"ALL SAINTS LUTHERAN CHURCH,",ON,OTTAWA,1,3,1
"ALL SAINTS LUTHERAN CHURCH, CALGARY, ALBERTA",AB,CALGARY,4,3,4
ALL SAINTS UKRAINIAN GREEK ORTHODOX CHURCH OF ST. PAUL,AB,ST PAUL,1,0,1
ALL SAINTS' ANGLICAN CHURCH,BC,MISSION,5,7,4
ALLAN & SUSAN FENWICK CHARITABLE FOUNDATION,ON,NORTH YORK,5,6,3
ALLARD FOUNDATION LTD.,AB,EDMONTON,16,2,3
ALLEN & LOREEN VAN DE KERK HOVE FAMILY FOUNDATION,BC,VICTORIA,7,7,4
ALLIED ARTS COUNCIL OF LETHBRIDGE,AB,LETHBRIDGE,1,7,1
