donor_name,donor_province,donor_city,total_donations,donations_per_employee_range,donation_consistency
FONDATION DOCTEUR SADOK BESROUR,QC,MONTRÉAL,4,7,3
FONDATION DU CEGEP DE LEVIS,QC,LEVIS,4,7,4
FONDATION DU CEGEP DE SOREL-TRACY,QC,SOREL-TRACY,3,7,3
FONDATION DU CENTRE DE SANTE ET DE SERVICES SOCIAUX DU VAL-SAINT-FRANCOIS,QC,WINDSOR,1,2,1
FONDATION DU CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE INC.,QC,SHERBROOKE,3,4,3
FONDATION DU CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,QC,MONTRÉAL,1,5,1
FONDATION DU CLUB DE HOCKEY CANADIEN POUR L'ENFANCE / THE MONTREAL CANADIENS CHILDREN'S FOUNDATION,QC,MONTRÉAL,41,7,4
FONDATION DU COLLEGE AHUNTSIC,QC,MONTREAL,4,7,4
FONDATION DU COLLEGE BOREAL,ON,SUDBURY,4,7,4
FONDATION DU COLLEGE DE L'ASSOMPTION,QC,L'ASSOMPTION,4,7,4
FONDATION DU COLLEGE FRANCOIS-DELAPLACE,QC,WATERVILLE,1,2,1
FONDATION DU COLLEGE MATHIEU INC,SK,GRAVELBOURG,2,4,2
FONDATION DU COLLEGE MONTMORENCY,QC,LAVAL DES RAPIDES,4,7,4
FONDATION DU COLLEGE NOTRE-DAME DE L'ASSOMPTION,QC,NICOLET,3,5,3
FONDATION DU COLLEGE STANISLAS,QC,OUTREMONT,2,7,2
FONDATION DU COLLÈGE AHUNTSIC,QC,MONTRÉAL,1,4,1
FONDATION DU COLLÈGE CHARLEMAGNE,QC,PIERREFONDS,1,7,1
FONDATION DU COLLÈGE REINE-MARIE,QC,MONTRÉAL,1,6,1
FONDATION DU COLLÈGE SAINT-BERNARD,QC,DRUMMONDVILLE,4,7,4
FONDATION DU COLLÈGE-DE-LAVAL,QC,QUÉBEC,1,5,1
FONDATION DU COLLÉGE FRANÇOIS-DE-LAVAL,QC,QUÉBEC,1,5,1
FONDATION DU CÉGEP SAINT-JEAN-SUR-RICHELIEU,QC,SAINT-JEAN-SUR-RICHELIEU,3,7,3
FONDATION DU DR JULIEN,QC,MONTRÉAL,1,7,1
FONDATION DU GRAND DÉFI PIERRE LAVOIE,QC,BOUCHERVILLE,1,7,1
FONDATION DU REGIME DES BENEFICES AUTOCHTONE NATIVE BENEFITSPLAN FOUNDATION,QC,WENDAKE,13,7,4
FONDATION DU SEMINAIRE DES PERES MARISTES,QC,SILLERY,3,5,3
FONDATION DUFRESNE & GAUTHIER,QC,QUEBEC,21,2,4
FONDATION DUPONT,QC,QUÉBEC,1,3,1
FONDATION EBS/EBS FOUNDATION,QC,OUTREMONT,16,5,4
FONDATION ECOLE MARCELLE-MALLET,QC,LEVIS,3,5,3
FONDATION EDWARD ASSH,QC,QUÉBEC,15,5,4
FONDATION ELOIZE,QC,MONTREAL,3,1,2
FONDATION ET ALUMNI DE POLYTECHNIQUE MONTREAL,QC,MONTRÉAL,10,7,4
FONDATION EULALIE-DUROCHER,QC,SAINT LAMBERT,3,7,3
FONDATION EXCELSIOR FOUNDATION,QC,OUTREMONT,1,4,1
FONDATION EXTERNAT SAINT-COEURDE MARIE,QC,QUEBEC,3,5,3
FONDATION EXTERNAT SAINT-JEAN-EUDES,QC,QUÉBEC,2,6,2
FONDATION FAMILIALE BROSSEAU,QC,WESTMOUNT,3,7,2
FONDATION FAMILLE CURADEAU-GROU,QC,OUTREMONT,1,5,1
FONDATION FAMILLE LAFOND,QC,MONT-SAINT-HILAIRE,1,3,1
FONDATION FAMILLE MICHEL FOURNELLE,QC,MONTREAL,4,3,4
FONDATION FAMILLE MONGEAU,QC,OUTREMONT,2,3,2
FONDATION FAMILLE NEUHAUS NEUHAUS FAMILY FOUNDATION,QC,MONTREAL,14,6,4
FONDATION FAMILLE VACHON,QC,BEACONSFIELD,4,7,2
FONDATION FAMILLES LAUZON ET PROVENCHER,QC,MONTREAL,5,7,4
FONDATION FASKEN MARTINEAU DUMOULIN /FASKEN MARTINEAU DUMOULIN FOUNDATION,QC,MONTREAL,6,1,2
FONDATION FELIX GOYER,QC,LAVAL,6,7,1
FONDATION FELIX GOYER,QC,PINCOURT,25,7,3
FONDATION FRANCIS ET GENEVIEVE MELANCON,QC,BLAINVILLE,7,7,4
FONDATION FRANCO-ALBERTAINE,AB,EDMONTON,13,7,4
FONDATION FRANCOIS BOURGEOIS LTEE,QC,VICTORIAVILLE,29,1,4
FONDATION FRANÇOIS DE COURVAL,QC,QUEBEC,1,6,1
FONDATION G.M.R.,QC,VILLE MONT-ROYAL,3,4,3
FONDATION GASTON L TREMBLAY PROMOTEUR PLACE DU ROYAUME INC,QC,CHICOUTIMI,5,7,4
FONDATION GILLES CHATEL,QC,MONTREAL,15,3,4
FONDATION GROUPE FORGET,QC,PIERREFONDS,2,1,2
FONDATION GUY LALIBERTE,QC,MONTREAL,4,6,2
FONDATION HARNOIS-RICHELIEU,QC,JOLIETTE,6,3,3
FONDATION IMMOBILIERE DE MONTREAL POUR LES JEUNES/THE MONTREAL REAL ESTATE FOUNDATION FOR KIDS,QC,MONTREAL,1,3,1
FONDATION INSTITUT DE CARDIOLOGIE,QC,MONTRÉAL,1,7,1
FONDATION INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMO,QC,QUÉBEC,1,5,1
FONDATION INTER ECHO,QC,SAINT-LAMBERT,1,3,1
FONDATION ITALIENNE ST-JOSEPH,QC,SAINT-LÉONARD,1,2,1
FONDATION J ARMAND BOMBARDIER,QC,VALCOURT,74,7,4
FONDATION J M BELAND,QC,BOISCHATEL,1,2,1
FONDATION J-RODOLPHE-LA HAYE INC,QC,SAINT-BRUNO,3,1,3
FONDATION J.A. DESEVE,QC,MONTREAL,70,2,4
FONDATION JACQUES & MICHEL AUGER,QC,VICTORIAVILLE,8,0,4
FONDATION JACQUES LANDRY POUR L'ENFANCE,QC,VENISE-EN-QUEBEC,3,7,3
FONDATION JEAN-CLAUDE BRANCHAUD,QC,MANIWAKI,1,2,1
FONDATION JEAN-LOUIS TASSE,QC,SAINT-CALIXTE,4,3,4
FONDATION JEAN-LUC GRAVEL ET BRIGITTE BRETON,QC,BROMONT,6,1,2
FONDATION JEAN-LUC GRAVEL ET BRIGITTE BRETON,QC,MONTREAL,2,0,1
FONDATION JEUNES - PROJET,QC,LONGUEUIL,2,7,1
FONDATION JEUNESSES MUSICALES CANADA,QC,MONTREAL,1,3,1
FONDATION KERANNA INC,QC,TROIS-RIVIERES,3,7,3
FONDATION LA PETITE ACADÉMIE DU BOISÉ,QC,SAINT-HYACINTHE,1,5,1
FONDATION LA VIOLETTE,QC,LAVAL,4,1,3
FONDATION LAURE GAUDREAULT,QC,QUEBEC,50,2,4
FONDATION LAURENTIDES,QC,BLAINVILLE,3,2,1
FONDATION LEONNE OUELLET,QC,RIVIERE-DU-LOUP,1,1,1
FONDATION LES 7 DOIGTS DE LA MAIN,QC,MONTREAL,3,5,3
FONDATION LES ROSES DE L'ESPOIR / ROSES OF HOPE FOUNDATION,QC,MONTREAL,1,4,1
FONDATION LOGOS,QC,LA BAIE,3,5,2
FONDATION LOUIS-CHARLES ROUTHIER,QC,ANJOU,4,3,4
FONDATION LOUISE ET JEAN-PAUL FONTAINE,QC,SAINT-AUGUSTIN-DE-WOBURN,10,7,3
FONDATION LOUISE GRENIER,QC,QUEBEC,3,0,3
FONDATION LUCIEN-LABELLE,QC,MONTREAL,2,2,2
FONDATION LÉO-PAUL THERRIEN,QC,DRUMMONDVILLE,1,3,1
FONDATION MARCEL ET ROLANDE GOSSELIN,QC,SAINT-LAURENT,3,7,3
FONDATION MARIA HOUDE GALIBOIS,QC,QUEBEC,2,6,1
FONDATION MARIE-LOUISE CLARAC,QC,MONTREAL,4,6,4
FONDATION MARIE-VINCENT,QC,MONTRÉAL,1,7,1
FONDATION MAURICE TANGUAY INC.,QC,QUEBEC,1,1,1
FONDATION MCABBIE,QC,SAINT-LAMBERT,4,2,4
FONDATION MEMORIA/MEMORIA FOUNDATION,QC,OUTREMONT,2,4,2
FONDATION MEUBLES SOUTH SHORE / SOUTH SHORE FURNITURE FOUNDATION,QC,LEVIS,7,1,3
FONDATION MIRA INC.,QC,SAINTE-MADELEINE,1,7,1
FONDATION MIREILLE ET ANDRÉ BOURBEAU,QC,DUNHAM,4,3,2
FONDATION MIRIAM - MIRIAM FOUNDATION,QC,MONT-ROYAL,3,4,2
FONDATION MIRYAM BERDUGO COHEN,QC,CÔTE-ST-LUC,10,0,3
FONDATION MONIQUE ET BERNARD CASAVANT,QC,LAVAL,3,2,3
FONDATION MÉRAT,QC,BOUCHERVILLE,1,3,1
FONDATION NESSIM KNAFO,QC,HAMPSTEAD,3,0,3
FONDATION NICOLE-SAINT-LOUIS,QC,LASALLE,8,4,4
FONDATION NOQ,QC,TROIS-RIVIERES,4,4,4
FONDATION NORDIQUES,QC,QUEBEC,1,0,1
FONDATION NORMAND BRIE,QC,QUÉBEC,3,3,3
FONDATION NORMANDIN,QC,TROIS-RIVIERES,2,1,2
FONDATION PASTORALE DU DIOCESE DE NICOLET INC.,QC,NICOLET,3,2,2
FONDATION PETITES-MAINS,QC,MONTREAL,1,5,1
FONDATION PIERRE DESMARAIS BELVEDERE,QC,MONTREAL,24,3,4
FONDATION PIERRE ET GISELE LABERGE,QC,CHICOUTIMI,4,7,4
FONDATION PILLENIERE INC,QC,LONGUEUIL,2,1,2
FONDATION PLACE DU ROYAUME INC.,QC,CHICOUTIMI,4,7,4
FONDATION PMT ROY,QC,QUEBEC,8,2,4
FONDATION PNDA,QC,MONTREAL,4,5,4
FONDATION POUR LA LANGUE FRANÇAISE,QC,MONTREAL,3,5,1
FONDATION POUR LES AÎNÉS ET L'INNOVATION SOCIALE,QC,QUÉBEC,1,5,1
FONDATION POUR LES VOCATIONS DU SEMINAIRE MARIE-REINE DU CLERGE INC.,QC,CHICOUTIMI,8,2,4
FONDATION PREFONTAINE-HUSHION,QC,MONTREAL,3,5,3
FONDATION QUEBECOISE DU PATRIMOINE/HERITAGE QUEBEC FOUNDATIO,QC,QUEBEC,3,2,3
FONDATION QUÉBEC CINÉMA QUÉBEC CINEMA FOUNDATION,QC,MONTRÉAL,1,3,1
FONDATION QUÉBECOISE DU CANCER INC.,QC,MONTRÉAL,1,7,1
FONDATION QUÉBÉCOISE DU CANCER,QC,MONTRÉAL,2,5,2
FONDATION RADIO GALIÉE,QC,QUÉBEC,1,5,1
FONDATION RADIO-GALILÉE,QC,QUÉBEC,1,5,1
FONDATION RAYMOND GAUDREAULT,QC,ST-CHARLES BORROMEE,1,2,1
FONDATION REAL D'ANJOU,QC,MAGOG,1,0,1
FONDATION RENE BUSSIERES,QC,SAINT-HENRI-DE-LEVIS,2,1,2
FONDATION RENE MALO,QC,MONTREAL,3,3,2
FONDATION RICHELIEU DE JOLIETTE INC.,QC,JOLIETTE,5,0,3
FONDATION RICHELIEU DE ST-BRUNO,QC,SAINT-BRUNO,1,4,1
FONDATION RICHELIEU SAINT-JEAN,QC,SAINT-JEAN-SUR-RICHELIEU,1,1,1
FONDATION RICHELIEU TROIS-RIVIERES,QC,TROIS-RIVIERES,4,3,4
FONDATION ROMEO DALLAIRE,QC,QUEBEC,1,0,1
FONDATION ROTAIDE INC./ROTAIDE FOUNDATION INC.,QC,HUDSON,1,2,1
FONDATION ROTARY DE TROIS-RIVIERES INC.,QC,TROIS-RIVIERES,1,1,1
FONDATION S.G. Rotary,QC,SAINT-GEORGES,2,7,2
FONDATION SACRE COEUR DE SUDBURY,ON,SUDBURY,2,5,2
FONDATION SANDY BURGESS,QC,RIMOUSKI,1,2,1
FONDATION SAUVÉ / SAUVÉ FOUNDATION,QC,MONTREAL,4,2,3
FONDATION SCOUTS CANADA FOUNDATION,ON,OTTAWA,2,7,2
FONDATION SERGE PAYER FOUNDATION,ON,ROCKLAND,1,7,1
FONDATION SIMPLE PLAN / SIMPLE PLAN FOUNDATION,QC,MONTREAL,3,2,1
FONDATION SOCIO-CULTURELLE POLONAISE DU QUEBEC,QC,POINTE-CLAIRE,3,1,3
FONDATION SOUTIEN À L'ENFANCE RIVIÈRE-DU-NORD,QC,SAINT-JÉRÔME,1,7,1
FONDATION SSQ INC.,QC,SAINTE-FOY,4,4,2
FONDATION ST-FRANCOIS,QC,SAINT-AUGUSTIN,4,6,4
FONDATION ST-JEAN-VIANNEY,QC,MONTREAL,4,7,4
FONDATION STEPHAN CRETIER,QC,LAVAL,6,4,3
FONDATION TERRY FOX (LA),BC,Burnaby,1,7,1
FONDATION TRAÇONS UN CHEMIN,QC,MONTREAL,4,4,4
FONDATION TREMBLANT,QC,MONT-TREMBLANT,8,7,1
FONDATION TRIAD/TRIAD FOUNDATION,QC,WEST MOUNT,2,5,1
FONDATION YVON BOULANGER,QC,VERDUN,2,1,2
FONDATION À CHACUN SON DÉFI,QC,POINTE-AUX-TREMBLES,7,6,4
FONDATION ÉCHO /ECHO FOUNDATION,QC,MONTREAL,24,1,2
FONDATION ÉCLO,QC,SAINT-LAMBERT,1,1,1
FONDATION ÉCOLE JÉSUS-MARIE DE BEAUCEVILLE,QC,BEAUCEVILLE,3,1,3
FONDATION ÉCOLE PETER HALL,QC,MONTREAL,1,5,1
FONDATION ÉCOLE PETER HALL,QC,MONTRÉAL,1,5,1
FONDATION ÉLIZABETH ET ROGER PARENT,QC,QUÉBEC,1,5,1
FONDATION ÉMILIE-TAVERNIER-GAMELIN,QC,MONTREAL,28,2,4
FONDATION-ANTOINE-TURMEL /ANTOINE TURMEL FOUNDATION,QC,MONTREAL,3,6,3
FONDATION-JEUNESSE DE LA COTE-SUD INC,QC,LA POCATIERE,3,1,3
FONDS D'AIDE SOCIALE DU ROTARY CLUB DE WESTMOUNT / THE ROTARY CLUB OF WESTMOUNT WELFARE FUND,QC,MONTRÉAL,1,2,1
FONDS DE BIENFAISANCE DES EMPLOYES D'OA/OA EMPLOYEES',QC,SAINT-JEAN-SUR-RICHELIEU,6,2,3
"FONDS DE BIENFAISANCE DES EMPLOYES DE MONTREAL, BOMBARDIER AERONAUTIQUE",QC,MONTREAL,9,3,3
FONDS DE BOURSE DES ANCIENS(NES)-CDJ INC,NB,EDMUNDSTON,1,1,1
FONDS DE CHARITE CLUB RICHELIEU DE BUCKINGHAM,QC,GATINEAU,1,1,1
FONDS DE CHARITE DU CLUB KIWANIS DE QUEBEC,QC,QUEBEC,2,4,1
FONDS DES OEUVRES DU CLUB KIWANIS DE CHICOUTIMI,QC,CHICOUTIMI,1,0,1
FONDS DES SERVICES EDUCATIFS DU SEMINAIRE MARIE-REINE-DU-CLERGE,QC,METABETCHOUAN-LAC-A-LA-CROIX,2,5,2
FONDS HUMANITAIRE DE LA FRATERNITE DES POLICIERS ET POLICIERES DE LONGUEUIL,QC,BOUCHERVILLE,3,3,2
FONDS IMMOBILIER SATMAR/ SATMAR BUILDING FUND,QC,MONTREAL,1,5,1
FONDS OBLAT DE L'UNIVERSITE SAINT-PAUL INC.,ON,OTTAWA,4,7,4
FOOD BANKS BRITISH COLUMBIA,BC,SURREY,15,2,4
FOOD SHARE TORONTO,ON,TORONTO,1,0,1
FOORD FAMILY FOUNDATION,BC,VERNON,24,7,4
FOOTE COPELAND UNITED CHURCH,SK,WYNYARD,1,4,1
FOOTHILLS ALLIANCE CHURCH,AB,CALGARY,3,6,2
FOOTHILLS LUTHERAN CHURCH OF CALGARY,AB,CALGARY,1,2,1
FOOTHILLS MENNONITE CHURCH,AB,CALGARY,4,0,4
FOR YOUTH INITIATIVE,ON,TORONTO,3,2,3
FORED BC SOCIETY,BC,VANCOUVER,4,6,4
FOREMOST PASTORAL CHARGE,AB,FOREMOST,1,3,1
FOREST COMMUNITY FOUNDATION,ON,FOREST,2,7,2
FOREST HILL JEWISH CENTRE,ON,TORONTO,2,0,1
FORKS IN THE TRAIL PRIVATE FOUNDATION,ON,ORO-MEDONTE,1,1,1
FORMOSAN GRACE CHRISTIAN CHURCH IN TORONTO,ON,SCARBOROUGH,1,2,1
FORT GARRY EVANGELICAL MENNONITE CHURCH,MB,WINNIPEG,4,5,3
FORT GARRY MENNONITE BRETHREN CHURCH,MB,WINNIPEG,9,5,4
FORT GARRY MENNONITE FELLOWSHIP,MB,WINNIPEG,8,5,4
FORT GEORGE BAPTIST CHURCH,BC,PRINCE GEORGE,3,6,3
FORT LANGLEY COMMUNITY IMPROVEMENT SOCIETY,BC,LANGLEY,1,0,1
FORTIER DANSE CREATION INC.,QC,MONTREAL,3,1,1
FORTIER FAMILY FOUNDATION,ON,SHARON,2,2,1
FORWARD BAPTIST CHURCH,ON,TORONTO,5,5,4
"FORWARD BAPTIST CHURCH, CAMBRIDGE",ON,CAMBRIDGE,1,5,1
FOUNDATION FOR ADVANCING FAMILY MEDICINE / FONDATION POUR L'AVANCEMENT DE LA MÉDECINE FAMILIALE,ON,MISSISSAUGA,1,7,1
FOUNDATION FOR CHORAL MUSIC IN MANITOBA INC,MB,WINNIPEG,6,0,2
FOUNDATION FOR FELLOWSHIP BAPTIST MINISTRIES,BC,DELTA,4,4,4
FOUNDATION FOR HUMAN DEVELOPMENT,ON,HAMILTON,1,7,1
FOUNDATION FOR THE STUDY OF PROCESSES OF GOVERNMENT IN CANADA/FONDATION POUR L'ETUDE DES PROCESSUS DE GOUVERNEMENT AU CANADA,QC,GATINEAU,1,4,1
FOUNDATION OF THE VERY REVEREND MITRAT JOSEPH PULAK INC.,MB,WINNIPEG,4,4,4
FOUR M CHARITABLE FOUNDATION,AB,EDMONTON,4,0,4
FOURSQUARE GOSPEL CHURCH OF CANADA,AB,CALGARY,2,4,2
FOURSQUARE GOSPEL CHURCH OF CANADA,BC,BURNABY,6,4,3
FOURSQUARE GOSPEL CHURCH OF CANADA,BC,COQUITLAM,7,4,4
FOURSQUARE GOSPEL CHURCH OF CANADA,BC,CRANBROOK,4,4,4
FOURSQUARE GOSPEL CHURCH OF CANADA,BC,DELTA,4,4,4
FOURSQUARE GOSPEL CHURCH OF CANADA,BC,GOLD RIVER,1,4,1
FOURSQUARE GOSPEL CHURCH OF CANADA,BC,KIMBERLEY,1,4,1
FOURSQUARE GOSPEL CHURCH OF CANADA,BC,MAPLE RIDGE,15,4,4
FOURSQUARE GOSPEL CHURCH OF CANADA,BC,MISSION,4,4,4
FOURSQUARE GOSPEL CHURCH OF CANADA,BC,PORT COQUITLAM,7,4,4
FOURSQUARE GOSPEL CHURCH OF CANADA,BC,POWELL RIVER,1,4,1
FOURSQUARE GOSPEL CHURCH OF CANADA,BC,SURREY,4,4,3
FOURSQUARE GOSPEL CHURCH OF CANADA,BC,VANCOUVER,2,4,2
FOURSQUARE GOSPEL CHURCH OF CANADA,ON,DURHAM,4,4,4
FOURSQUARE GOSPEL CHURCH OF CANADA,ON,TORONTO,3,4,3
FOURSQUARE GOSPEL CHURCH OF CANADA,YT,WHITEHORSE,2,4,2
FOX POINT SEVENTH-DAY ADVENTIST CHURCH,NB,MONCTON,2,3,2
FRAGRANCE FOUNDATION,ON,DUNNVILLE,34,3,4
FRANCIS-KEYSTONE FOUNDATION,ON,WINDSOR,1,6,1
FRANCISCAN FRIARY,AB,EDMONTON,2,0,2
FRANCISCAN POOR CLARE NUNS,BC,DUNCAN,3,5,3
FRANCISCANS OF HALIFAX SOCIETY,NS,HALIFAX,3,0,3
FRANCOFONDS INC.,MB,WINNIPEG,28,2,4
FRANK J. FLAMAN FOUNDATION,AB,NISKU,15,7,4
FRANKFORD CHRISTIAN REFORMED CHURCH,ON,FRANKFORD,9,3,4
FRASER LANDS CHURCH OF THE CHRISTIAN AND MISSIONARY ALLIANCEIN CANADA,BC,VANCOUVER,5,2,3
FRASER VALLEY VICTORY CHURCHES,BC,CHILLIWACK,1,7,1
FRASERVIEW MENNONITE BRETHREN CHURCH,BC,RICHMOND,8,3,4
FRASNIAN FOUNDATION,AB,CALGARY,1,7,1
FRED AND EDITH GREENE FOUNDATION,NS,HALIFAX,3,6,3
FREDERICK A & ABBIE LANE CHARITY FUND,ON,TORONTO,8,0,4
FREDERICK AND DOUGLAS DICKSON MEMORIAL FOUNDATION,ON,TORONTO,8,5,4
FREDERICTON ARTS AND LEARNING INCORPORATED,NB,FREDERICTON,1,1,1
FREDERICTON COMMUNITY FOUNDATION INC.,NB,FREDERICTON,72,7,4
FREDERICTON SOCIETY OF SAINT ANDREW SCOTTISH CULTURAL FUND,NB,HANWELL,2,1,2
FREE REFORMED CHURCH OF BORNHOLM,ON,MITCHELL,1,5,1
FREE REFORMED CHURCH OF DUNDAS,ON,LYNDEN,4,5,4
FREE REFORMED CHURCH OF NORTH AMERICA,ON,LONDON,5,5,4
FREE REFORMED CHURCH OF OXFORD COUNTY,ON,NORWICH,4,5,4
FREE REFORMED CHURCH OF ST. THOMAS,ON,ST.THOMAS,1,4,1
FRENCH LAKE BAPTIST CHURCH,NB,FRENCH LAKE,1,4,1
FRESH ROOTS URBAN FARM SOCIETY,BC,VANCOUVER,1,7,1
FREYBE FOUNDATION,BC,VANCOUVER,10,1,2
FRIEDRICH SCHILLER FOUNDATION FOR GERMAN-CANADIAN CULTURE,ON,MISSISSAUGA,4,0,2
"FRIENDS KIRYAT HYAELED, JERUSALEM",ON,THORNHILL,1,2,1
FRIENDS OF CANADIAN MUSEUM OF HUMAN RIGHTS,MB,WINNIPEG,1,0,1
FRIENDS OF LUBAVITCH LONDON ONTARIO,ON,LONDON,1,3,1
FRIENDS OF MEDALTA SOCIETY,AB,MEDICINE HAT,2,1,1
FRIENDS OF PRINCESS ELIZABETH ELEMENTARY SCHOOL FOUNDATION,QC,MAGOG,2,7,2
FRIENDS OF SIMON WIESENTHAL CENTER FOR HOLOCAUST STUDIES,ON,TORONTO,2,1,2
FRIENDS OF ST. PATRICK'S SCHOOL,ON,DRYDEN,1,7,1
FRIENDS OF THE GERMAN SCHOOL ALEXANDER VON HUMBOLDT INC.,QC,BAIE-D'URFE,3,5,3
FRIENDS OF THE NATIONAL ARTS CENTRE ORCHESTRA/LES AMIS DE L'ORCHESTRE DU CENTRE NATIONAL DES ARTS,ON,OTTAWA,4,3,4
FRIENDS OF THE PUGWASH ESTUARY,NS,PUGWASH,2,7,2
FRIENDS OF THE WEST GREY LIBRARY,ON,DURHAM,2,1,2
FRIENDS OF YE OLDE TOWNE HALL,ON,AILSA CRAIG,1,7,1
FRIENDSHIP COMMUNITY CHURCH,BC,SAANICHTON,2,0,2
FRISIA FOUNDATION FONDATION FRISIA,QC,STE-DOROTHÉE,1,0,1
FROG'S BREATH FOUNDATION,ON,NEW LISKEARD,11,7,4
FRONTIER CAMPING SOCIETY,AB,NORDEGG,2,6,2
FRONTIER COLLEGE LEARNING FOUNDATION / FONDS D'APPRENTISSAGE DU COLLEGE FRONTIERE,ON,TORONTO,3,6,3
FRUITVALE CHRISTIAN FELLOWSHIP,BC,FRUITVALE,1,5,1
FRUITVALE COMMUNITY CHEST,BC,FRUITVALE,2,1,1
FUJIAN EVANGELICAL CHURCH,BC,RICHMOND,3,2,3
FUNDY COMMUNITY FOUNDATION,NB,ST ANDREWS,28,7,4
FUNDY INTERCHURCH FOOD BANK,NS,KENTVILLE,1,2,1
FUSCO FAMILY CHARITABLE TRUST,ON,TORONTO,1,4,1
FUSION JEUNESSE,QC,MONTREAL,1,2,1
FUTURE WORX SOCIETY,NS,TRURO,1,2,1
FUYANG FUTURE EDUCATION FOUNDATION,BC,BURNABY,1,4,1
Fabrique de la paroisse de l'Ascension de Patapédia,QC,L'Ascension-de-Patapédia,1,1,1
Faith Community Church Fellowship,AB,EDMONTON,2,2,2
Faith Evangelical Missionary Church - Wasaga Beach,ON,WASAGA BEACH,4,3,4
Faith Fellowship Christian Reformed Church,ON,NIAGARA FALLS,2,5,2
Faith United Milton,ON,MILTON,7,2,4
Family Christian Centre (Fort McMurray),AB,FORT MCMURRAY,4,1,3
Farm Radio International,ON,Ottawa,1,0,1
Fasken Ontario Foundation,ON,TORONTO,3,0,1
Faye and David Huestis Family Foundation Inc.,NB,SAINT JOHN,9,7,4
Felker Foundation,QC,MONTREAL,1,7,1
Ferguson Family Foundation,QC,POINTE-CLAIRE,13,7,3
Fiducie Monique Barry,QC,QUEBEC,5,6,3
Fiducie des Fonds de charité du club Richelieu-Victoriaville inc.,QC,VICTORIAVILLE,3,2,3
Fiera Capital Foundation - Fondation Fiera Capital,ON,TORONTO,49,3,3
Fighting Blindness Canada,ON,TORONTO,5,7,2
Filles de Saint-Paul,QC,MONTREAL,7,3,4
Filles de la Providence,QC,SAINT-JEAN-SUR-RICHELIEU,7,3,3
Filles de la Sagesse du Canada,ON,OTTAWA,3,4,2
Financial Planning Foundation Fondation pour la planification financiére,ON,TORONTO,1,5,1
First Baptist Church of Charlottetown,PE,CHARLOTTETOWN,4,5,4
First Christian Reformed Church of Montreal,QC,DOLLARD-DES-ORMEAUX,2,5,2
Five Oaks Shared Ministry,SK,NAICAM,4,4,4
Flanagan Family Foundation,ON,KITCHENER,1,3,1
Flow Capital Charitable Foundation,ON,TORONTO,2,2,2
Fondation 24h Tremblant,QC,MONT-TREMBLANT,3,3,3
Fondation Air Canada,QC,DORVAL,1,2,1
Fondation Alhambra Québec Inc.,QC,BOUCHERVILLE,2,7,2
Fondation Amelia & Lino Saputo Amelia & Lino Saputo Founda tion,QC,MONTRÉAL,3,7,1
Fondation André Trudeau,ON,TORONTO,2,1,2
Fondation Ariane Riou & Réal Plourde,QC,MONTREAL,7,3,4
Fondation Assomption Vie Inc./Assumption Life Foundation Inc.,NB,MONCTON,7,1,4
Fondation Aurele-Daoust du Collège Ville-Marie,QC,MONTRÉAL,3,6,3
Fondation B'NAI LEVY / B'NAI LEVY Foundation,QC,BOISBRIAND,7,4,2
Fondation BenefAction/ BenefAction Foundation,ON,TORONTO,643,5,4
Fondation Benny & Co.,QC,BOIS-DES-FILION,2,7,2
Fondation Bon Départ de Canadian Tire du Québec Inc.,QC,LAVAL,16,2,3
Fondation Bon Départ de Canadian Tire du Québec Inc.,QC,POINTE-CLAIRE,10,4,1
Fondation Brain Canada / Brain Canada Foundation,QC,MONTREAL,52,7,3
Fondation Bruny Surin,QC,LAVAL,1,3,1
Fondation Bruny Surin,QC,MONTREAL,3,3,3
Fondation Charles Cusson,QC,MONTREAL,1,5,1
Fondation Club Rotary d'Alma,QC,ALMA,5,7,4
Fondation Clément Paillé,QC,SAINT-NARCISSE,1,5,1
Fondation College Esther-Blondin,QC,SAINT-JACQUES DE MONTCALM,2,6,2
Fondation Collège International Marie de France,QC,MONTREAL,4,6,4
Fondation Collège Laval,QC,LAVAL,4,7,4
Fondation Collège Marie-de-L'Incarnation de Trois-Rivières,QC,TROIS-RIVIERES,4,5,4
Fondation Collège Saint-Hilaire,QC,MONT-SAINT-HILAIRE,3,5,3
Fondation Collège de Montréal,QC,MONTREAL,3,6,3
Fondation Communautaire de l'Abitibi-Témiscamingue,QC,ROUYN-NORANDA,2,2,2
Fondation Conrad Bélanger Inc.,QC,SAINT GABRIEL DE VALCARTIER,4,6,4
Fondation De L'École Secondaire Marcellin-Champagnat,QC,SAINT-JEAN-SUR-RICHELIEU,4,6,4
Fondation Des Paraplégiques Du Québec/Quebec Paraplegic Foundation,QC,LAVAL,1,1,1
Fondation Desjardins,QC,MONTREAL,45,2,3
Fondation Diffuser Le Soleil,QC,MONTREAL,1,5,1
Fondation Dominique Boudreau,QC,SHERBROOKE,4,0,4
Fondation Défi Everest,QC,RIVIERE-DU-LOUP,9,0,2
Fondation Eldee-Eldee Foundation,QC,MONT-ROYAL,5,2,1
Fondation Familiale Gewurz/Gewurz Family Fondation,QC,ILE DES SOEURS,68,3,4
